       f [Hz]             Surf Imped      
        1.100000e+00         2.282795e-06         2.282795e-06
        2.100000e+00         3.154135e-06         3.154135e-06
        3.100000e+00         3.832229e-06         3.832229e-06
        4.100000e+00         4.407197e-06         4.407197e-06
        5.100000e+00         4.915364e-06         4.915364e-06
        6.100000e+00         5.375706e-06         5.375706e-06
        7.100000e+00         5.799623e-06         5.799623e-06
        8.100000e+00         6.194597e-06         6.194597e-06
        9.100000e+00         6.565855e-06         6.565855e-06
        1.100000e+01         7.218832e-06         7.218832e-06
        2.100000e+01         9.974249e-06         9.974249e-06
        3.100000e+01         1.211857e-05         1.211857e-05
        4.100000e+01         1.393678e-05         1.393678e-05
        5.100000e+01         1.554375e-05         1.554375e-05
        6.100000e+01         1.699947e-05         1.699947e-05
        7.100000e+01         1.834002e-05         1.834002e-05
        8.100000e+01         1.958904e-05         1.958904e-05
        9.100000e+01         2.076306e-05         2.076306e-05
        1.100000e+02         2.282795e-05         2.282795e-05
        2.100000e+02         3.154135e-05         3.154135e-05
        3.100000e+02         3.832229e-05         3.832229e-05
        4.100000e+02         4.407197e-05         4.407197e-05
        5.100000e+02         4.915364e-05         4.915364e-05
        6.100000e+02         5.375706e-05         5.375706e-05
        7.100000e+02         5.799623e-05         5.799623e-05
        8.100000e+02         6.194597e-05         6.194597e-05
        9.100000e+02         6.565855e-05         6.565855e-05
        1.100000e+03         7.218832e-05         7.218832e-05
        2.100000e+03         9.974249e-05         9.974249e-05
        3.100000e+03         1.211857e-04         1.211857e-04
        4.100000e+03         1.393678e-04         1.393678e-04
        5.100000e+03         1.554375e-04         1.554375e-04
        6.100000e+03         1.699947e-04         1.699947e-04
        7.100000e+03         1.834002e-04         1.834002e-04
        8.100000e+03         1.958904e-04         1.958904e-04
        9.100000e+03         2.076306e-04         2.076306e-04
        1.100000e+04         2.282795e-04         2.282795e-04
        2.100000e+04         3.154135e-04         3.154135e-04
        3.100000e+04         3.832229e-04         3.832229e-04
        4.100000e+04         4.407197e-04         4.407197e-04
        5.100000e+04         4.915364e-04         4.915364e-04
        6.100000e+04         5.375706e-04         5.375706e-04
        7.100000e+04         5.799623e-04         5.799623e-04
        8.100000e+04         6.194597e-04         6.194597e-04
        9.100000e+04         6.565855e-04         6.565855e-04
        1.100000e+05         7.218832e-04         7.218832e-04
        2.100000e+05         9.974249e-04         9.974249e-04
        3.100000e+05         1.211857e-03         1.211857e-03
        4.100000e+05         1.393678e-03         1.393678e-03
        5.100000e+05         1.554375e-03         1.554375e-03
        6.100000e+05         1.699947e-03         1.699947e-03
        7.100000e+05         1.834002e-03         1.834002e-03
        8.100000e+05         1.958904e-03         1.958904e-03
        9.100000e+05         2.076306e-03         2.076306e-03
        1.100000e+06         2.282795e-03         2.282795e-03
        2.100000e+06         3.154135e-03         3.154135e-03
        3.100000e+06         3.832229e-03         3.832229e-03
        4.100000e+06         4.407197e-03         4.407197e-03
        5.100000e+06         4.915364e-03         4.915364e-03
        6.100000e+06         5.375706e-03         5.375706e-03
        7.100000e+06         5.799623e-03         5.799623e-03
        8.100000e+06         6.194597e-03         6.194597e-03
        9.100000e+06         6.565855e-03         6.565855e-03
        1.100000e+07         7.218832e-03         7.218832e-03
        2.100000e+07         9.974249e-03         9.974249e-03
        3.100000e+07         1.211857e-02         1.211857e-02
        4.100000e+07         1.393678e-02         1.393678e-02
        5.100000e+07         1.554375e-02         1.554375e-02
        6.100000e+07         1.699947e-02         1.699947e-02
        7.100000e+07         1.834002e-02         1.834002e-02
        8.100000e+07         1.958904e-02         1.958904e-02
        9.100000e+07         2.076306e-02         2.076306e-02
        1.100000e+08         2.282795e-02         2.282795e-02
        2.100000e+08         3.154135e-02         3.154135e-02
        3.100000e+08         3.832229e-02         3.832229e-02
        4.100000e+08         4.407197e-02         4.407197e-02
        5.100000e+08         4.915364e-02         4.915364e-02
        6.100000e+08         5.375706e-02         5.375706e-02
        7.100000e+08         5.799623e-02         5.799623e-02
        8.100000e+08         6.194598e-02         6.194597e-02
        9.100000e+08         6.565855e-02         6.565855e-02
        1.100000e+09         7.218832e-02         7.218832e-02
        2.100000e+09         9.974250e-02         9.974249e-02
        3.100000e+09         1.211857e-01         1.211857e-01
        4.100000e+09         1.393678e-01         1.393678e-01
        5.100000e+09         1.554375e-01         1.554374e-01
        6.100000e+09         1.699948e-01         1.699947e-01
        7.100000e+09         1.834002e-01         1.834001e-01
        8.100000e+09         1.958904e-01         1.958903e-01
        9.100000e+09         2.076306e-01         2.076305e-01
